1 10  34.9
1 11  58.1
1 12  86.3
1 13  112
1 14  134
1 15  149
1 16  158
1 17  155
1 18  149
1 19  162
1 20  153
1 21  150
1 22  149
2 10  27.9
2 11  50.6
2 12  83.8
2 13  125
2 14  165
2 15  199
2 16  221
2 17  225
2 18  223
2 19  226
2 20  216
2 21  204
2 22  204
3 10  22.3
3 11  41.6
3 12  73.6
3 13  118
3 14  169
3 15  216
3 16  250
3 17  261
3 18  258
3 19  261
3 20  248
3 21  240
3 22  240
4 10  18.1
4 11  34.4
4 12  62.2
4 13  104
4 14  162
4 15  219
4 16  265
4 17  280
4 18  276
4 19  277
4 20  262
4 21  247
4 22  243
